nume,Categoria_parinte,cont,cont_che,cont_ven
Materii prime generale,All,301000,301000,301000
Materii prime – comp EVI,All,301000,301000,301000
Semifabricate,All,341000,341000,341000
Alte mat. consumabile,All,302800,302800,302800
Piese de schimb,All,302400,302400,302400
Marfuri,All,371000,371000,371000
Materiale auxiliare,All,302100,302100,302100
Combustibili,All,302200,302200,302200
Produse finite,All,345000,345000,345000
Ambalaje,All,381000,381000,381000
Obiecte de inventar,All,303000,303000,303000
Produse reziduale,All,346000,346000,346000
Amenajari provizorii,All,323000,323000,323000
Materiale spre prelucrare,All,803200,803200,803200
Materiale în pastrare_consig,All,803300,803300,803300
Discount financiar intrari,All,767000,767000,767000
Discount financiar iesiri,All,667000,667000,667000
Discount comercial intrari,All,609000,609000,609000
Discount comercial iesiri,All,709000,709000,709000
Servicii vandute,All,704000,704000,704000
